text,disease,section
"s need extra help to be able to have a baby. for example: infertility and trying for a baby can bring challenges that might be overwhelming at times. there are charities that provide support, advice and information such as fertility alliance and fertility network uk. the human fertility and embryology authority also provides information for patients. fertility is affected by various factors, including: lifestyle changes can improve your fertility, such as: there are things you can do to reduce stress and anxiety such as: further information about your mental health and wellbeing some causes of infertility include: sometimes the causes of infertility are unknown. you may feel worried about speaking to your gp, but infertility is common and they can provide support. when you speak to your doctor about your fertility they will take a medical history.",Infertility,
"only notice when you can’t feel it being touched during an examination. if this nerve damage is found it increases your risk of future foot problems. your health care team will help you understand your personal foot risk. you may need regular contact with a health care professional. they will explain what changes you should be looking for. if your podiatrist or gp practice is closed, call 111. have diabetes, have new foot issues and also: if you have diabetes, or are a carer for someone with diabetes, it can be helpful to do a test for nerve damage. diabetes uk have information on how to test for sensitivity in your feet other things that can influence your foot risk include: in most cases you will be able to manage any known foot issues caused by diabetes at home, yourself.",Diabetic foot issues,
"r gp practice if:] being referred to a specialist as early as possible can help you access the right support. there are usually 3 stages of symptoms. sometimes the early symptoms are mistaken for similar conditions that also affect the nervous system. as mnd becomes more advanced, more parts and functions of the body are affected. this can make you more likely to experience infections, like chest infections, which can cause your condition to get worse quicker. as mnd progresses to its final phase, you might experience: eventually, non-invasive breathing assistance won’t be enough to make up for the loss of normal lung function. at this stage, more medication can help to reduce symptoms of breathlessness and anxiety related to it. most people with mnd become increasingly drowsy before falling into a deep sleep, where they usually die peacefully.",Motor neurone disease (MND),
"in can be used instead. the symptoms usually improve within 24 hours of starting antibiotics, with the other symptoms disappearing within a few days. however, it’s important that the whole course of treatment is completed to ensure the infection is fully cleared and reduce the potential for antibiotic resistance. keep your child away from nursery or school for at least 24 hours after starting antibiotic treatment. adults with scarlet fever should also stay off work for at least 24 hours after starting treatment. many of the symptoms of scarlet fever can be relieved using some simple self care measures. most cases of scarlet fever don’t cause complications, particularly if the condition is properly treated.",Scarlet fever,
c system. sometimes testicular cancer can spread to lymph nodes at the back of the tummy (abdomen). these are called the retroperitoneal lymph nodes. macmillan cancer support have more information about testicular cancer and the lymph nodes. source: macmillan cancer support last updated: 16 february 2026,Testicular cancer,
"baby. postnatal psychosis is more likely to affect women who already have a mental health condition. for example, bipolar disorder or schizophrenia. you or someone else has symptoms of postnatal psychosis like: phone 999 if someone is at immediate risk of danger or harm. speak to your gp practice immediately if you experience psychotic episodes. it’s important that psychosis is treated as soon as possible. your gp may ask you some questions to help work out what’s causing your psychosis. they should refer you to a mental health specialist for further assessment and treatment. treatment for psychosis involves using a combination of: some people may have to take anti-psychotic medication long-term to manage their symptoms. do not suddenly stop taking your medication as it may cause your symptoms to return.",Psychosis,
in women than men. people with a history of gallstones or an inflamed gallbladder (cholecystitis) have a higher risk. but most people with these conditions don’t develop gallbladder cancer. psc is a rare condition that causes inflammation and narrowing of the bile ducts. people with this condition have an increased risk of gallbladder cancer. sometimes calcium builds up in the wall of the gallbladder. this condition is called a porcelain gallbladder. people with this condition have a slightly increased risk of gallbladder cancer. polyps are non-cancerous (benign) tumours of the gallbladder. having polyps increases the risk of developing gallbladder cancer. bigger polyps have a higher risk than smaller ones. doctors are usually more concerned about polyps that are bigger than 1cm.,Gallbladder cancer,
"mality of the urinary tract or have a condition called vesico-ureteric reflux, where there is a backflow of urine from the bladder up to the kidneys. you can reduce your chances of developing a kidney infection by keeping your bladder and urethra free from bacteria. this can include drinking plenty of fluids, keeping your genitals clean and treating any constipation. read more about preventing a kidney infection source: nhs 24 last updated: 18 march 2026",Kidney infection,
"panic disorder is where you keep having panic attacks, often for no obvious reason. everyone experiences feelings of anxiety and panic at certain times during their lifetime. it’s a natural response to stressful or dangerous situations. for someone with panic disorder, feelings of anxiety, stress and panic happen regularly and at any time. the symptoms of a panic attack can be very frightening and distressing. symptoms tend to occur suddenly, without warning and often for no obvious reason. as well as overwhelming feelings of anxiety, a panic attack can also cause other symptoms, including: the physical symptoms of a panic attack are unpleasant. you might also have feelings of fear and terror. for this reason, people with panic disorder might start to fear the next attack. this creates a cycle of living in ‘fear of fear’ and adds to the sense of panic.",Panic disorder,
"ding and walking should become easier. your walking should now be back to normal. your movement will be almost at 100% and swelling will be reducing. your ability to do your day-to-day activities are beginning to return to normal. every soft tissue injury can be different; your injury may take slightly longer or shorter than these timescales. the most important thing is that it’s improving. recovery is not always straight forward, it can be normal to have setbacks during this time. it’s important to pace your activities to help with your recovery. an ankle sprain can sometimes mean you need to take some time off work to help recovery. how long you’re off will depend on your condition and your role at work. you don’t need to be symptom free before you consider returning to work. continuing to go to work, or returning to work as soon as is possible for you, will help your recovery.",Ankle sprain,
