text,disease,section
"an abdominal aortic aneurysm (aaa) is a swelling (aneurysm) of the aorta – the main blood vessel that leads away from the heart, down through the abdomen to the rest of the body. the abdominal aorta is the largest blood vessel in the body and is usually around 2cm wide – roughly the width of a garden hose. however, it can swell to over 5.5cm – what doctors class as a large aaa. large aneurysms are rare, but can be very serious. if a large aneurysm bursts, it causes huge internal bleeding and is usually fatal. the bulging occurs when the wall of the aorta weakens. although what causes this weakness is unclear, smoking and high blood pressure are thought to increase the risk of an aneurysm. aaas are most common in men aged over 65. a rupture accounts for more than 1 in 50 of all deaths in this group. this is why all men are invited for a screening test when they turn 65. the test involves a simple ultrasound scan, which takes around 10-15 minutes.",Abdominal aortic aneurysm,
"this is why all men are invited for a screening test when they turn 65. the test involves a simple ultrasound scan, which takes around 10-15 minutes. in most cases, an aaa causes no noticeable symptoms. however, if it becomes large, some people may develop a pain or a pulsating feeling in their abdomen (tummy) or persistent back pain. an aaa doesn’t usually pose a serious threat to health, but there’s a risk that a larger aneurysm could burst (rupture). a ruptured aneurysm can cause massive internal bleeding, which is usually fatal. around 8 out of 10 people with a rupture either die before they reach hospital or don’t survive surgery. the most common symptom of a ruptured aortic aneurysm is sudden and severe pain in the abdomen. if you suspect that you or someone else has had a ruptured aneurysm, call 999 immediately and ask for an ambulance.",Abdominal aortic aneurysm,
"n and severe pain in the abdomen. if you suspect that you or someone else has had a ruptured aneurysm, call 999 immediately and ask for an ambulance. it’s not known exactly what causes the aortic wall to weaken, although increasing age and being male are known to be the biggest risk factors. there are other risk factors you can do something about, including smoking and having high blood pressure and cholesterol level. having a family history of aortic aneurysms also means that you have an increased risk of developing one yourself. because aaas usually cause no symptoms, they tend to be diagnosed either as a result of screening or during a routine examination – for example, if a gp notices a pulsating sensation in your abdomen. the screening test is an ultrasound scan, which allows the size of your abdominal aorta to be measured on a monitor. this is also how an aneurysm will be diagnosed if your doctor suspects you have one.",Abdominal aortic aneurysm,
"ws the size of your abdominal aorta to be measured on a monitor. this is also how an aneurysm will be diagnosed if your doctor suspects you have one. if a large aaa is detected before it ruptures, most people will be advised to have treatment, to prevent it rupturing. this is usually done with surgery to replace the weakened section of the blood vessel with a piece of synthetic tubing. if surgery is not advisable – or if you decide not to have it – there are a number of non-surgical treatments that can reduce the risk of an aneurysm rupturing. they include medications to lower your cholesterol and blood pressure, and quitting smoking. you will also have the size of your aneurysm checked regularly with ultrasound scanning.",Abdominal aortic aneurysm,
"r your cholesterol and blood pressure, and quitting smoking. you will also have the size of your aneurysm checked regularly with ultrasound scanning. the best way to prevent getting an aneurysm – or reduce the risk of an aneurysm growing bigger and possibly rupturing – is to avoid anything that could damage your blood vessels, such as: read more about screening for an aaa. source: nhs 24 last updated: 18 march 2026",Abdominal aortic aneurysm,
"aplastic anaemia is a very rare and serious bone marrow disorder that causes low blood counts. it affects around 2 people in every 1 million each year in scotland. bone marrow is found within the bones and makes blood cells. in people with aplastic anaemia, bone marrow doesn’t produce blood cells normally. the production of blood cells can slow down or stop altogether. this means there’s no longer enough in the body. there are 3 types of blood cells which all have a different role. these are: the aplastic anaemia trust has further information on what aplastic anaemia is. aplastic anaemia can be: healthcare professionals will measure the level of blood cells in your body to work out how severe your aplastic anaemia is. the fewer blood cells there are, the more severe your aplastic anaemia is likely to be.",About aplastic anaemia,
"in your body to work out how severe your aplastic anaemia is. the fewer blood cells there are, the more severe your aplastic anaemia is likely to be. symptoms of aplastic anaemia can vary in severity. they are caused by low blood counts, which affect red blood cells, white blood cells and platelets. symptoms of aplastic anaemia can include: some patients also report experiencing general symptoms like: these symptoms may be caused by aplastic anaemia, different treatments, or other factors. aplastic anaemia is a rare cause of low blood count. if you have symptoms of a low blood count, you’ll need to have different tests to rule out other more likely reasons for it and find the exact cause. most patients with a low blood count will need: some people may need: if you do have aplastic anaemia, you’ll also need tests to find out how severe it is.",About aplastic anaemia,
"atients with a low blood count will need: some people may need: if you do have aplastic anaemia, you’ll also need tests to find out how severe it is. healthcare professionals will also check if you have enough vitamin b12 and folate to make blood cells. this helps to rule out other reasons for your symptoms. it’s important that you understand what’s going on with your healthcare. this can help prepare you for any treatment or care that you need. when you have a hospital appointment, it may help to bring someone who can provide support or take notes. you could also write down any questions before your appointment and take these with you. the aplastic anaemia trust jargon buster can also help if there are medical words and phrases that don’t make sense to you, or make you feel uncomfortable. don’t be afraid to ask your healthcare team if there’s anything you’re unsure about.",About aplastic anaemia,
"es that don’t make sense to you, or make you feel uncomfortable. don’t be afraid to ask your healthcare team if there’s anything you’re unsure about. get more advice about speaking to healthcare professionals if you have aplastic anaemia, your treatment will usually be managed by haematologists. they are specialist blood doctors. treatments will be tailored to your individual needs and can vary depending on: research on treatments for aplastic anaemia is ongoing. further information on aplastic anaemia treatments in most cases, the cause of aplastic anaemia is not known. it’s seen as an unusual immune disorder, because the immune system attacks the bone marrow. healthcare professionals will investigate to see if there’s any underlying cause for your aplastic anaemia.",About aplastic anaemia,
"he immune system attacks the bone marrow. healthcare professionals will investigate to see if there’s any underlying cause for your aplastic anaemia. for example, they’ll investigate if it could be caused by: for some people, aplastic anaemia is associated with an inherited condition. this means it runs in families. inherited conditions that can cause aplastic anaemia include: you may need to have a genetic test to rule out some of these causes. aplastic anaemia can affect anyone at any age. however, it’s most common in those aged 10 to 20 years old, and those aged over 60. the aplastic anaemia trust has further information on aplastic anaemia in children and young people. sometimes aplastic anaemia can also be associated with another rare condition called paroxysmal nocturnal haemoglobinuria (pnh).",About aplastic anaemia,
"en and young people. sometimes aplastic anaemia can also be associated with another rare condition called paroxysmal nocturnal haemoglobinuria (pnh). if you have aplastic anaemia and a low white blood count, you’re at a higher risk of severe infections. this means you should get medical help quickly if you become unwell. people with aplastic anaemia who have a low platelet count are also at a higher risk of bruising and bleeding. when people talk about anaemia, they often mean iron deficiency anaemia, but aplastic anaemia is different. it’s a serious bone marrow condition. aplastic anaemia is not a blood cancer, but some of the treatments may be similar. for example, you may need to be treated in hospital and some patients may need blood transfusions, medication through a drip or a bone marrow transplant.",About aplastic anaemia,
"example, you may need to be treated in hospital and some patients may need blood transfusions, medication through a drip or a bone marrow transplant. patients with aplastic anaemia may need to take steps to protect themselves from infections in a similar way to patients who are being treated with chemotherapy for their cancer. there’s a lot of uncertainty and unpredictability surrounding aplastic anaemia. if you or someone you know has been diagnosed with aplastic anaemia, it can affect many different parts of your life. the aplastic anaemia trust has lots of information and support for people with aplastic anaemia, and those close to them. the aplastic anaemia trust offers services including: find out more about living with aplastic anaemia source: the aplastic anaemia trust last updated: 21 april 2026",About aplastic anaemia,
"this information may be useful if you have been diagnosed with achilles tendinopathy. if you have new or ongoing symptoms should visit your healthcare professional for advice. read more about self-managing ankle problems achilles tendinopathy, sometimes known as tendinitis, is a condition that can cause pain, stiffness and swelling of the achilles tendon. this is a tendon connecting your calf muscle to your heel. symptoms may vary from person to person. they can appear gradually or suddenly. people may experience: people can have one or multiple symptoms. achilles tendinopathy can occur in both active and inactive people. the causes can be varied but there are some common factors that are important.",Achilles tendinopathy,
